Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,YoungModulus
0,0,31.000345,0,0,68.999655,0,0,0,0,0,0,0,0,0,0,0,60
0,0,22.08242318,2.021261104,2.029998544,60.07572448,0,2.999854376,8.842289209,0,0,0.929081113,0,0,0,0,1.019367992,74
0,0,21.05090261,0,6.429308888,63.47026249,0,9.049526014,0,0,0,0,0,0,0,0,0,59.5
0,0,0,0,39.5088572,1.23105455,0,0,59.26008825,0,0,0,0,0,0,0,0,110
0,0,26.000149,10.00074499,4.000595992,59.99851002,0,0,0,0,0,0,0,0,0,0,0,59.3
0,0,22.65003564,0,0,53.85887384,1.720598717,0,21.7704918,0,0,0,0,0,0,0,0,76.8
0,0,30.03002064,0,6.360622928,63.60935643,0,0,0,0,0,0,0,0,0,0,0,60.3
0,0,29.39952961,0,0,60.60063039,0,0,0,0,9.999840003,0,0,0,0,0,0,60.1
0,0,29.999845,0,5.000232497,64.9999225,0,0,0,0,0,0,0,0,0,0,0,63.4
0,0,0,0,0,62.02544354,0,24.82251194,0,0,0,10.77119458,0,0,0,0,2.380849935,64.8
0,0,0,0,31.93960159,4.250932355,0,0,60.66826355,0,0,0,0,0,3.141202511,0,0,110
0,0,0,0,39.00027158,2.498522293,0,0,58.50120613,0,0,0,0,0,0,0,0,116
0,0,21.88922284,0,0,51.30957492,2.610562473,0,24.19063976,0,0,0,0,0,0,0,0,81.3
0,0,28.32939787,4.840613932,0,66.82998819,0,0,0,0,0,0,0,0,0,0,0,67.5
0,0,0,8.468996345,31.19091486,5.68123471,0,0,51.88015343,0,0,0,0,0,2.778700655,0,0,113
0,0,0,0,0,64.99927124,0,26.50051013,0,0,0,0,8.500218627,0,0,0,0,53.3
0,0,0,0,0,69.9997,0,30.0003,0,0,0,0,0,0,0,0,0,43.85
0,0,0,0,29.99940001,5.000899982,0,0,54.99790004,5.000899982,0,0,5.000899982,0,0,0,0,106
0,0,0,0,30.0003,9.999099991,0,0,30.0003,0,0,30.0003,0,0,0,0,0,109
0,0,0,0,30.0003,9.999099991,0,0,35.00135001,0,0,24.99924999,0,0,0,0,0,111
0,0,0,0,30.0003,9.999099991,0,0,39.99939999,0,0,20.00120001,0,0,0,0,0,103
0,0,0,0,30.0003,9.999099991,0,0,50.00150002,0,0,0,0,0,0,0,9.999099991,97.9
0,0,0,0,30.0003,9.999099991,0,0,50.00150002,0,0,0,0,0,0,9.999099991,0,93.7
0,0,0,0,30.0003,9.999099991,0,0,50.00150002,0,0,9.999099991,0,0,0,0,0,106
0,0,0,0,30.0003,9.999099991,0,0,54.99955,0,0,0,0,0,0,0,5.001050011,99.2
0,0,0,0,30.0003,9.999099991,0,0,54.99955,0,0,5.001050011,0,0,0,0,0,91
0,0,0,0,30.0003,9.999099991,0,0,60.00060001,0,0,0,0,0,0,0,0,106
0,0,0,5.001050011,30.0003,9.999099991,0,0,54.99955,0,0,0,0,0,0,0,0,99.9
0,0,0,9.999099991,30.0003,9.999099991,0,0,50.00150002,0,0,0,0,0,0,0,0,103
0,0,0,15.00015,30.0003,9.999099991,0,0,45.00045,0,0,0,0,0,0,0,0,105
0,0,4.999549995,0,0,69.9997,0,25.00075001,0,0,0,0,0,0,0,0,0,51.9
0,0,10.00060001,0,0,69.9997,0,19.9997,0,0,0,0,0,0,0,0,0,54
0,0,15.00015,0,0,69.9997,0,15.00015,0,0,0,0,0,0,0,0,0,56.2
0,0,18.00018,0,0,69.9997,0,12.00012,0,0,0,0,0,0,0,0,0,45.1
0,0,19.9997,0,0,69.9997,0,10.00060001,0,0,0,0,0,0,0,0,0,55.3
0,0,25.00075001,0,0,69.9997,0,4.999549995,0,0,0,0,0,0,0,0,0,59.5
0,0,30.0003,0,0,39.99939999,0,0,0,30.0003,0,0,0,0,0,0,0,81.55
0,0,30.0003,0,0,45.00045,0,0,0,24.99924999,0,0,0,0,0,0,0,78.2
0,0,29.99940001,0,0,50,0,0,0,20.00059999,0,0,0,0,0,0,0,75.45
0,0,30.0003,0,0,69.9997,0,0,0,0,0,0,0,0,0,0,0,59.05
0,0,11.00019879,0,0.969812285,59.0406952,0,11.03001732,15.46019936,0,0,0,0,0,0,0,2.499077045,72
0,0,11.00080951,2.709726897,1.009756721,59.00614943,0,11.00080951,11.2422422,0,0,4.03050573,0,0,0,0,0,73
0,0,22.32060896,0,0,60.13077434,0,0,0,0,0,0,0,0,0,0,17.5486167,70.6
0,0,11.04058391,2.51057908,0.989747522,59.02984863,0,10.95964329,15.46959757,0,0,0,0,0,0,0,0,76
0,0,25.56050404,0,0,48.43970877,5.999483196,0,20.000304,0,0,0,0,0,0,0,0,69
0,0,0,0,28.28974678,11.64087054,0,0,52.3898476,0,0,0,0,0,0,0,7.679535077,103
0,0,0,0,38.00044661,4.998883466,0,0,57.00066992,0,0,0,0,0,0,0,0,111
0,0,0,0,0,53.2008532,0,16.7994168,0,0,0,0,29.99973,0,0,0,0,67
0,0,28.59976572,0,6.189769621,65.03084733,0,0.179617337,0,0,0,0,0,0,0,0,0,58.8
0,0,28.65995837,0,6.489726295,64.85031533,0,0,0,0,0,0,0,0,0,0,0,60.6
0,0,19.04952352,0,0,56.76931776,0,0,0,0,0,24.18115872,0,0,0,0,0,65.7
0,0,17.50006813,0,0,54.99904624,0,0,27.50088563,0,0,0,0,0,0,0,0,91.4
0,0,29.35035325,0,0,70.64964675,0,0,0,0,0,0,0,0,0,0,0,51.8
0,0,0,8.560217326,30.12073649,11.47902203,0,0,49.84002415,0,0,0,0,0,0,0,0,109
0,0,9.95955877,0,4.970357593,55.0290626,0,10.00014495,20.04087608,0,0,0,0,0,0,0,0,72
0,0,25,0,30.00036,44.99964,0,0,0,0,0,0,0,0,0,0,0,78.5
0,0,0,0,0,55.80085574,0,17.60009842,0,0,0,0,26.59904584,0,0,0,0,65.5
0,0,0,0,37.00035035,7.500716629,0,0,55.49893302,0,0,0,0,0,0,0,0,111
0,0,10.5796119,2.550631302,1.009801429,58.95828037,0,9.900290936,11.47077931,0,0,5.530604751,0,0,0,0,0,73.1
0,0,29.02935485,0,0,70.97064515,0,0,0,0,0,0,0,0,0,0,0,61
0,0,0,0,21.40085455,0,23.29961632,42.79952912,0,12.5,0,0,0,0,0,0,0,42.3
0,0,28.999355,0,0,71.000645,0,0,0,0,0,0,0,0,0,0,0,61.7
0,0,10.27024724,0,1.999517162,57.9490748,0,9.800190295,19.9809705,0,0,0,0,0,0,0,0,76.2
0,0,10.05082195,4.991340394,1.970415377,58.00516737,0,9.951449419,15.03080549,0,0,0,0,0,0,0,0,71
0,0,9.97117419,0,2.000766795,58.0151371,0,10.01093393,20.00198799,0,0,0,0,0,0,0,0,75
0,0,9.959531416,0,2.020589279,57.99077032,0,9.979410721,15.0401136,0,0,0,0,0,0,0,5.009584665,69
0,0,0,0,26.60004127,14.9995578,0,0,58.40040093,0,0,0,0,0,0,0,0,106
0,0,25.69974119,0,21.39931097,52.90094784,0,0,0,0,0,0,0,0,0,0,0,72.7
0,0,9.940501487,8.491287718,2.010199745,57.7787222,0,9.579260518,12.20002833,0,0,0,0,0,0,0,0,74
0,0,12.05057124,0,0,59.97983871,0,7.99031138,19.97927867,0,0,0,0,0,0,0,0,71
0,0,0,0,16.69971771,0,33.29911579,50.00116651,0,0,0,0,0,0,0,0,0,46.1
0,0,50.00116651,0,16.69971771,0,33.29911579,0,0,0,0,0,0,0,0,0,0,61.1
0,0,0,0,16.6693889,0,33.32944443,50.00116667,0,0,0,0,0,0,0,0,0,46.8
0,0,0,0,0,60,0,20,0,0,0,0,20,0,0,0,0,60.8
0,0,0,0,0,60,0,20,20,0,0,0,0,0,0,0,0,67.1
0,0,11.0000441,5.000955503,3.9998824,59.999706,0,11.0000441,1.999206198,0,0,0,5.000955503,0,0,0,1.999206198,71
0,0,20,0,0,60,0,0,0,0,0,0,0,0,0,0,20,69
