Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Tliquidus
0,0,0,0,0,50.3007485,0,49.6992515,0,0,0,0,0,0,0,0,0,1230.15
0,0,49.6992515,0,0,50.3007485,0,0,0,0,0,0,0,0,0,0,0,1359.65
0,0,49.6504965,0,0,49.6504965,0,0,0,0,0,0,0,0,0.69900699,0,0,1357.15
0,0,42.40928795,0,0,50.39074805,0,7.199964,0,0,0,0,0,0,0,0,0,1282.15
0,0,0,0,0,33.62907308,0,32.80046892,33.570458,0,0,0,0,0,0,0,0,1903.15
0,0,49.500495,0,0,50.499505,0,0,0,0,0,0,0,0,0,0,0,1370.15
0,0,49.33928133,0,3.300527349,47.36019132,0,0,0,0,0,0,0,0,0,0,0,1328.15
0,0,0,0,0,50.6997465,0,49.3002535,0,0,0,0,0,0,0,0,0,1185.15
0,0,49.3002535,0,0,50.6997465,0,0,0,0,0,0,0,0,0,0,0,1363.15
0,0,0,0,0,0,25.47979341,74.52020659,0,0,0,0,0,0,0,0,0,1793.15
0,0,49.000255,0,0,50.999745,0,0,0,0,0,0,0,0,0,0,0,1333.15
0,0,0,0,0,47.59936081,0,45.60994561,6.790693583,0,0,0,0,0,0,0,0,1223.15
0,0,48.9192554,0,0,51.0807446,0,0,0,0,0,0,0,0,0,0,0,1357.15
0,0,48.900489,0,0,51.099511,0,0,0,0,0,0,0,0,0,0,0,1368.15
0,0,0,0,0,33.33024573,0,31.32021543,35.34953884,0,0,0,0,0,0,0,0,1900.15
0,0,44.71494877,0,0,47.19619348,0,0,0,0,0,0,8.088857752,0,0,0,0,1308.15
0,0,47.22915182,0,0,49.75944405,0,0,0,0,0,0,3.011404134,0,0,0,0,1353.15
0,0,47.23038997,0,0,49.77872821,0,0,0,0,0,0,0,0,0,0,2.99088182,1271.15
0,0,48.58969537,0,6.700513978,44.70979065,0,0,0,0,0,0,0,0,0,0,0,1278.15
0,0,70.47103917,0,0,7.249450357,22.27951048,0,0,0,0,0,0,0,0,0,0,1710.15
0,0,60.08930042,0,0,0,21.1795707,0,18.73112888,0,0,0,0,0,0,0,0,2016.15
0,0,48.53990021,0,3.050292326,48.40980746,0,0,0,0,0,0,0,0,0,0,0,1333.15
0,0,47.999192,0,52.000808,0,0,0,0,0,0,0,0,0,0,0,0,1847.15
0,0,0,0,0,51.5007425,0,48.4992575,0,0,0,0,0,0,0,0,0,1130.15
0,0,48.4992575,0,0,48.5007575,0,0,0,0,0,0,0,0,2.999985,0,0,1370.15
0,0,48.400258,0,0,51.599742,0,0,0,0,0,0,0,0,0,0,0,1355.15
0,0,48.23934172,0,8.550409843,43.21024844,0,0,0,0,0,0,0,0,0,0,0,1253.15
0,0,46.37541651,0,0,49.81562384,0,0,0,0,0,0,3.808959645,0,0,0,0,1174.15
0,0,73.81000567,0,0,0,26.18999433,0,0,0,0,0,0,0,0,0,0,1741.15
0,0,48.2202589,0,0,51.7797411,0,0,0,0,0,0,0,0,0,0,0,1349.15
0,0,0,0,0,51.800741,0,48.199259,0,0,0,0,0,0,0,0,0,1110.15
0,0,0,0,0,33.33333333,0,30.1322584,36.53440826,0,0,0,0,0,0,0,0,1871.15
0,0,48.0493567,0,9.630303611,42.32033969,0,0,0,0,0,0,0,0,0,0,0,1238.15
0,0,48.049507,0,9.289730642,42.66076236,0,0,0,0,0,0,0,0,0,0,0,1238.15
0,0,48.1002595,0,0,51.8997405,0,0,0,0,0,0,0,0,0,0,0,1365.15
0,0,47.94966335,0,10.30939404,41.74094261,0,0,0,0,0,0,0,0,0,0,0,1253.15
0,0,47.95072788,0,9.969604863,42.07966725,0,0,0,0,0,0,0,0,0,0,0,1243.15
0,0,0,0,0,0,26.32944228,73.67055772,0,0,0,0,0,0,0,0,0,1648.15
0,0,47.98015592,0,0,47.94934213,0,0,0,0,4.070501957,0,0,0,0,0,0,1323.15
0,0,47.75474124,0,10.72163292,41.52362584,0,0,0,0,0,0,0,0,0,0,0,1318.15
0,0,73.53018772,0,0,0,26.46981228,0,0,0,0,0,0,0,0,0,0,1701.15
0,0,47.64995812,0,11.07048515,41.27955673,0,0,0,0,0,0,0,0,0,0,0,1358.15
0,0,56.09401893,0,0,0,20.49806368,0,23.40791738,0,0,0,0,0,0,0,0,2040.15
0,0,0,0,0,33.32939307,0,29.35103826,37.31956867,0,0,0,0,0,0,0,0,1923.15
0,0,18.93168932,0,0,52.27552276,0,28.79278793,0,0,0,0,0,0,0,0,0,1053.15
