Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Fe2O3,ZnO,SrO,Y2O3,ZrO,SnO2,BaO,Density293K
0,0,39.06984684,0,5.179932031,55.75022113,0,0,0,0,0,0,0,0,0,0,0,2.562
0,0,39.40930295,0,0,60.59069705,0,0,0,0,0,0,0,0,0,0,0,2.52
0,0,39.219232,0,0,58.82049022,0,0,0,0,1.960277782,0,0,0,0,0,0,2.638
0,0,0,0,0,42.05556661,0,23.17750812,23.17883429,0,0,0,11.58809098,0,0,0,0,2.983
0,0,28.90974208,0,0,48.72150809,0,0,22.36874983,0,0,0,0,0,0,0,0,2.697
0,0,39.28930355,0,0,60.71069645,0,0,0,0,0,0,0,0,0,0,0,2.5215
0,0,0,0,0,49.9993,0,30.00042,0,0,0,20.00028,0,0,0,0,0,2.85
0,0,30.00042,0,0,49.9993,0,0,0,0,0,20.00028,0,0,0,0,0,2.895
0,0,0,0,0,42.105682,0,23.1577272,11.5788636,0,0,0,23.1577272,0,0,0,0,3.375
0,0,38.88681476,0,5.559703814,55.55348143,0,0,0,0,0,0,0,0,0,0,0,2.523
0,0,39.26074825,0,0,60.73925175,0,0,0,0,0,0,0,0,0,0,0,2.651
0,0,39.25957038,0,0,60.74042962,0,0,0,0,0,0,0,0,0,0,0,2.65
0,0,39.2593037,0,0,60.7406963,0,0,0,0,0,0,0,0,0,0,0,2.24
0,0,37.71955851,0,0,58.98112984,0,0,3.299311654,0,0,0,0,0,0,0,0,2.547
0,0,39.25725861,0,0,60.74274139,0,0,0,0,0,0,0,0,0,0,0,2.652
0,0,39.25410303,0,0,60.74589697,0,0,0,0,0,0,0,0,0,0,0,2.651
0,0,39.25521216,0,0,60.74478784,0,0,0,0,0,0,0,0,0,0,0,2.656
0,0,11.9998776,0,30.000459,3.999449196,0,0,54.0002142,0,0,0,0,0,0,0,0,2.88
0,0,0,0,0,60.800696,0,39.199304,0,0,0,0,0,0,0,0,0,2.544
0,0,10.0001455,0,0,55.9996508,0,24.99963625,0,0,0,9.000567446,0,0,0,0,0,2.643
0,0,20.000291,0,0,55.9996508,0,14.99949075,0,0,0,9.000567446,0,0,0,0,0,2.655
0,0,39.1603042,0,0,35.52882236,0,0,0,25.31087345,0,0,0,0,0,0,0,2.791
0,0,28.39940511,0,0,51.76786657,0,0,0,0,19.83272832,0,0,0,0,0,0,3.005
0,0,38.67672287,0,0,56.75780103,0,0,0,0,4.565476098,0,0,0,0,0,0,2.652
0,0,39.00039,0,0,60.99961,0,0,0,0,0,0,0,0,0,0,0,2.53
0,0,38.35068181,0,8.189641535,53.45967665,0,0,0,0,0,0,0,0,0,0,0,2.51
0,0,38.9203054,0,0,61.0796946,0,0,0,0,0,0,0,0,0,0,0,2.521
0,0,0,0,0,20.33089835,0,38.8993055,0,40.76979615,0,0,0,0,0,0,0,2.7
0,0,0,0,0,26.25624836,0,0,0,0,73.74375164,0,0,0,0,0,0,4.25
0,0,38.89030555,0,0,61.10969445,0,0,0,0,0,0,0,0,0,0,0,2.53
0,0,0,0,0,45.0003375,0,25.0003375,0,0,0,29.99932501,0,0,0,0,0,3.05
0,0,25.0003375,0,0,45.0003375,0,0,0,0,0,29.99932501,0,0,0,0,0,3.16
0,0,30.83993213,0,0,51.95984163,0,0,17.20022624,0,0,0,0,0,0,0,0,2.665
0,0,0,0,0,27.94158683,0,0,0,0,72.05841317,0,0,0,0,0,0,4.09
0,0,13.85123071,0,0,32.41352985,0,0,14.4508884,0,0,16.20183961,23.08251142,0,0,0,0,2.465
0,0,28.70669489,0,0,49.78556311,0,0,21.50774201,0,0,0,0,0,0,0,0,2.696
0,0,27.62065297,0,0,48.70884397,0,0,0,0,0,23.67050306,0,0,0,0,0,3.024
0,0,38.5503855,0,0,61.4496145,0,0,0,0,0,0,0,0,0,0,0,2.515
0,0,38.5003075,0,0,61.4996925,0,0,0,0,0,0,0,0,0,0,0,2.521
0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,40,0,3.509
0,0,0,0,0,57.54995758,0,35.03028175,7.419760672,0,0,0,0,0,0,0,0,2.542
0,0,27.35003797,0,0,48.7609581,0,0,23.88900393,0,0,0,0,0,0,0,0,2.717
0,0,0,0,0,28.82541804,0,0,0,0,71.17458196,0,0,0,0,0,0,4.04
0,0,10.94957393,0,29.90745548,4.758559604,0,0,45.71638007,0,0,0,0,0,0,0,8.668030909,3.125
0,0,36.6798668,0,0,61.6896169,0,1.630516305,0,0,0,0,0,0,0,0,0,2.517
0,0,32.92007842,0,0,55.40018452,0,0,11.67973705,0,0,0,0,0,0,0,0,2.61
0,0,30.22959184,0,0,54.82804233,0,0,0,0,14.94236584,0,0,0,0,0,0,2.898
0,0,28.999832,0,0,50.999608,0,0,0,0,0,20.00056,0,0,0,0,0,2.9
0,0,37.86964906,0,4.26070189,57.86964906,0,0,0,0,0,0,0,0,0,0,0,2.525
0,0,38.200309,0,0,61.799691,0,0,0,0,0,0,0,0,0,0,0,2.509
0,0,31.86945319,0,0,54.42026911,0,0,13.7102777,0,0,0,0,0,0,0,0,2.623
0,0,13.99970901,0,0,56.9998545,0,20,0,0,0,0,0,0,0,0,9.000436491,2.78
0,0,13.99970901,0,0,56.9998545,0,20,0,0,0,9.000436491,0,0,0,0,0,2.63
0,0,38.100381,0,0,61.899619,0,0,0,0,0,0,0,0,0,0,0,2.516
0,0,29.7902539,0,0,46.0896618,2.1705782,0,21.9495061,0,0,0,0,0,0,0,0,2.681
0,0,34.6993265,0,0,61.9406903,0,3.3599832,0,0,0,0,0,0,0,0,0,2.519
0,0,0,0,0,62.00069,0,37.99931,0,0,0,0,0,0,0,0,0,2.48
0,0,26.88020732,0,0,45.37018976,1.280407947,0,26.46919497,0,0,0,0,0,0,0,0,2.52
0,0,21.40028513,0,0,42.59992608,0,0,21.50060721,0,0,14.49918158,0,0,0,0,0,3.028
0,0,37.09990846,0,10.59951499,52.30057655,0,0,0,0,0,0,0,0,0,0,0,2.446
0,0,33.06992025,0,0,56.39066186,0,0,10.53941789,0,0,0,0,0,0,0,0,2.597
0,0,0,0,0,43.95460963,0,22.41815615,22.41815615,0,0,0,11.20907807,0,0,0,0,3.115
0,0,37.800378,0,0,39.00039,0,0,0,23.19923199,0,0,0,0,0,0,0,2.76
0,0,37.7803111,0,0,62.2196889,0,0,0,0,0,0,0,0,0,0,0,2.515
0,0,31.16443168,0,0,56.61520209,0,0,0,0,12.22036624,0,0,0,0,0,0,2.833
0,0,23.40030912,0,0,45.40017472,0,0,23.20005376,0,0,7.999462402,0,0,0,0,0,2.894
0,0,33.30040961,0,0,57.20012782,0,0,0,0,0,0,0,0,0,0,9.499462569,2.914
0,0,33.30040961,0,0,57.20012782,0,0,0,0,0,0,9.499462569,0,0,0,0,2.814
0,0,33.30040961,0,0,57.20012782,0,0,0,0,0,9.499462569,0,0,0,0,0,2.909
0,0,33.30040961,0,0,57.20012782,0,0,9.499462569,0,0,0,0,0,0,0,0,2.652
0,0,33.30040961,9.499462569,0,57.20012782,0,0,0,0,0,0,0,0,0,0,0,2.866
0,0,10.74945421,0,29.34917024,6.540358162,0,0,44.86038381,0,0,0,0,0,0,0,8.500633578,3.109
0,0,0,0,0,32.7808361,0,37.63031185,0,29.58885206,0,0,0,0,0,0,0,2.662
0,0,37.57118322,0,0.649311519,61.77950526,0,0,0,0,0,0,0,0,0,0,0,2.516
0,0,36.49919069,0,13.49999183,50.00081749,0,0,0,0,0,0,0,0,0,0,0,2.545
0,0,0,0,0,62.399688,0,37.600312,0,0,0,0,0,0,0,0,0,2.516
0,0,37.600312,0,0,62.399688,0,0,0,0,0,0,0,0,0,0,0,2.744
0,0,24.94040403,0,0,47.49969351,0,0,27.55990247,0,0,0,0,0,0,0,0,2.761
0,0,30.33925044,0,0,53.91054704,0,0,15.75020253,0,0,0,0,0,0,0,0,2.63
0,0,0,0,0,62.499625,0,37.500375,0,0,0,0,0,0,0,0,0,2.481
0,0,37.500375,0,0,62.499625,0,0,0,0,0,0,0,0,0,0,0,2.514
